         x                y             f0_f2   
       55.000000      -60.000000        4.941020
       55.000000      -65.000000        4.959060
       55.000000      -70.000000        4.948950
       55.000000      -75.000000        4.929712
       55.000000      -80.000000        4.933736
       55.000000      -85.000000        4.978077
       55.000000      -90.000000        5.020269
       60.000000       90.000000        2.020500
       60.000000       85.000000        2.353135
       60.000000       80.000000        1.935755
       60.000000       75.000000        1.791365
       60.000000       70.000000        1.950832
       60.000000       65.000000        2.531942
       60.000000       60.000000        3.113621
       60.000000       55.000000        3.580791
       60.000000       50.000000        3.906427
       60.000000       45.000000        4.165746
       60.000000       40.000000        4.372022
       60.000000       35.000000        4.531791
       60.000000       30.000000        4.765788
       60.000000       25.000000        5.228891
       60.000000       20.000000        6.026873
       60.000000       15.000000        6.808551
       60.000000       10.000000        6.830851
       60.000000        5.000000        6.738334
       60.000000    0.000000E+00        7.050475
       60.000000       -5.000000        7.256518
       60.000000      -10.000000        7.480866
       60.000000      -15.000000        7.411417
       60.000000      -20.000000        6.948832
       60.000000      -25.000000        6.385703
       60.000000      -30.000000        5.885553
       60.000000      -35.000000        5.481789
       60.000000      -40.000000        5.255586
       60.000000      -45.000000        5.053317
       60.000000      -50.000000        4.949017
       60.000000      -55.000000        4.912453
       60.000000      -60.000000        5.001786
       60.000000      -65.000000        4.998062
       60.000000      -70.000000        4.954887
       60.000000      -75.000000        4.915042
       60.000000      -80.000000        4.922144
       60.000000      -85.000000        4.974677
       60.000000      -90.000000        5.020269
       65.000000       90.000000        2.020500
       65.000000       85.000000        2.303933
       65.000000       80.000000        1.851811
       65.000000       75.000000        1.712073
       65.000000       70.000000        1.732099
       65.000000       65.000000        2.272456
       65.000000       60.000000        2.835717
       65.000000       55.000000        3.287785
       65.000000       50.000000        3.657375
       65.000000       45.000000        3.963894
       65.000000       40.000000        4.207789
       65.000000       35.000000        4.434479
       65.000000       30.000000        4.727843
       65.000000       25.000000        5.254122
       65.000000       20.000000        6.130920
       65.000000       15.000000        6.870797
       65.000000       10.000000        6.720503
       65.000000        5.000000        6.789392
       65.000000    0.000000E+00        7.053164
       65.000000       -5.000000        7.290577
       65.000000      -10.000000        7.511343
       65.000000      -15.000000        7.399338
       65.000000      -20.000000        6.932098
       65.000000      -25.000000        6.396950
       65.000000      -30.000000        5.893148
       65.000000      -35.000000        5.518460
       65.000000      -40.000000        5.283227
       65.000000      -45.000000        5.108425
       65.000000      -50.000000        5.014389
       65.000000      -55.000000        5.012587
       65.000000      -60.000000        5.069641
       65.000000      -65.000000        5.031744
       65.000000      -70.000000        4.955926
       65.000000      -75.000000        4.900140
       65.000000      -80.000000        4.910527
       65.000000      -85.000000        4.971869
       65.000000      -90.000000        5.020269
       70.000000       90.000000        2.020500
       70.000000       85.000000        2.258226
       70.000000       80.000000        1.787222
       70.000000       75.000000        1.643483
       70.000000       70.000000        1.537371
       70.000000       65.000000        2.009581
       70.000000       60.000000        2.563554
       70.000000       55.000000        2.996492
       70.000000       50.000000        3.354009
       70.000000       45.000000        3.698071
       70.000000       40.000000        3.991811
       70.000000       35.000000        4.281221
       70.000000       30.000000        4.656603
       70.000000       25.000000        5.268478
       70.000000       20.000000        6.228875
       70.000000       15.000000        6.913589
       70.000000       10.000000        6.606454
       70.000000        5.000000        6.835761
       70.000000    0.000000E+00        7.049875
       70.000000       -5.000000        7.320448
       70.000000      -10.000000        7.550237
       70.000000      -15.000000        7.408068
       70.000000      -20.000000        6.928549
       70.000000      -25.000000        6.421036
       70.000000      -30.000000        5.918410
       70.000000      -35.000000        5.569479
       70.000000      -40.000000        5.328399
       70.000000      -45.000000        5.184842
       70.000000      -50.000000        5.097288
       70.000000      -55.000000        5.121223
       70.000000      -60.000000        5.121973
       70.000000      -65.000000        5.058164
       70.000000      -70.000000        4.952091
       70.000000      -75.000000        4.883921
       70.000000      -80.000000        4.899020
       70.000000      -85.000000        4.969770
       70.000000      -90.000000        5.020269
       75.000000       90.000000        2.020500
       75.000000       85.000000        2.216007
       75.000000       80.000000        1.754754
       75.000000       75.000000        1.581231
       75.000000       70.000000        1.353911
       75.000000       65.000000        1.738742
       75.000000       60.000000        2.294690
       75.000000       55.000000        2.724081
       75.000000       50.000000        3.027762
       75.000000       45.000000        3.333703
       75.000000       40.000000        3.645608
       75.000000       35.000000        4.035491
       75.000000       30.000000        4.497756
       75.000000       25.000000        5.245374
       75.000000       20.000000        6.306316
       75.000000       15.000000        6.930223
       75.000000       10.000000        6.484991
       75.000000        5.000000        6.880477
       75.000000    0.000000E+00        7.040020
       75.000000       -5.000000        7.346070
       75.000000      -10.000000        7.591748
       75.000000      -15.000000        7.424035
       75.000000      -20.000000        6.933656
       75.000000      -25.000000        6.443820
       75.000000      -30.000000        5.962682
       75.000000      -35.000000        5.651105
       75.000000      -40.000000        5.395278
       75.000000      -45.000000        5.280379
       75.000000      -50.000000        5.193114
       75.000000      -55.000000        5.212352
       75.000000      -60.000000        5.127863
       75.000000      -65.000000        5.071072
       75.000000      -70.000000        4.942664
       75.000000      -75.000000        4.874681
       75.000000      -80.000000        4.887775
       75.000000      -85.000000        4.968529
       75.000000      -90.000000        5.020269
       80.000000       90.000000        2.020500
       80.000000       85.000000        2.177813
       80.000000       80.000000        1.723433
       80.000000       75.000000        1.504710
       80.000000       70.000000        1.223019
       80.000000       65.000000        1.512044
       80.000000       60.000000        2.023263
       80.000000       55.000000        2.467172
       80.000000       50.000000        2.765375
       80.000000       45.000000        3.032009
       80.000000       40.000000        3.295705
       80.000000       35.000000        3.693826
       80.000000       30.000000        4.256886
       80.000000       25.000000        5.157491
       80.000000       20.000000        6.331570
       80.000000       15.000000        6.903830
