time,N_sat,L1,L2,P1,P2,C1
0.192,G13,106664235.495,83115001.566,0,20297521.564,20297523.081
0.192,G15,111183551.504,86636536.841,0,21157523.176,21157524.408
0.192,G17,124323208.698,96875223.956,0,23657916.256,23657917.161
0.192,G18,127512350.645,99360269.864,0,24264789.802,24264791.967
0.192,G20,121036424.109,94314071.416,0,23032464.813,23032466.049
0.192,G24,125519768.732,97807618.527,0,23885619.128,23885617.313
0.192,G28,111303951.693,86730355.919,0,21180430.419,21180432.573
0.192,G30,118359793.561,92228424.651,0,22523113.034,22523112.133
0.200,G05,130312679.086,101542353.247,0,24797678.003,24797678.518
0.200,G13,106682104.784,83128925.698,0,20300921.979,20300923.464
0.200,G15,111145900.789,86607198.632,0,21150358.555,21150359.721
0.200,G17,124233110.622,96805017.710,0,23640771.006,23640771.990
0.200,G18,127467509.138,99325328.430,0,24256257.273,24256259.263
0.200,G20,121108548.418,94370272.154,0,23046189.447,23046190.831
0.200,G24,125418875.613,97729000.529,0,23866419.451,23866417.836
0.200,G28,111343703.749,86761331.545,0,21187995.044,21187997.132
0.200,G30,118446959.596,92296346.248,0,22539700.166,22539699.362
0.208,G05,130420653.937,101626489.490,0,24818224.925,24818225.437
0.208,G13,106700537.731,83143289.030,0,20304429.659,20304431.119
0.208,G15,111108780.119,86578273.433,0,21143294.710,21143295.934
0.208,G17,124143267.679,96735010.258,0,23623674.288,23623675.339
0.208,G18,127423114.622,99290735.331,0,24247809.384,24247811.482
0.208,G20,121181071.396,94426783.560,0,23059990.179,23059991.488
0.208,G24,125318099.328,97650473.589,0,23847242.485,23847240.699
0.208,G28,111383884.252,86792641.034,0,21195641.194,21195643.257
0.208,G30,118534330.401,92364427.372,0,22556326.333,22556325.639
0.217,G05,130528664.026,101710653.168,0,24838778.891,24838779.049
0.217,G13,106719537.383,83158093.967,0,20308045.115,20308046.621
0.217,G15,111072194.591,86549765.237,0,21136332.710,21136333.981
0.217,G17,124053686.399,96665206.725,0,23606627.743,23606628.469
0.217,G18,127379172.074,99256494.400,0,24239447.750,24239449.564
0.217,G20,121253994.008,94483606.348,0,23073867.044,23073868.099
0.217,G24,125217443.976,97572040.869,0,23828087.979,23828086.331
0.217,G28,111424495.185,86824285.916,0,21203369.175,21203371.273
0.217,G30,118621908.096,92432669.718,0,22572991.781,22572991.073
0.225,G13,106739099.592,83173337.259,0,20311767.660,20311769.197
0.225,G15,111036141.352,86521671.801,0,21129471.999,21129473.320
0.225,G17,123964365.960,96595606.422,0,23589630.554,23589631.337
0.225,G18,127335678.902,99222603.627,0,24231171.476,24231173.142
0.225,G20,121327309.302,94540735.130,0,23087818.736,23087819.661
0.225,G24,125116906.388,97493699.892,0,23808956.640,23808954.968
0.225,G28,111465530.759,86856261.687,0,21211178.099,21211180.101
0.225,G30,118709687.198,92501068.993,0,22589695.742,22589694.934
0.233,G13,106759225.303,83189019.627,0,20315597.531,20315598.987
0.233,G15,111000622.843,86493995.057,0,21122713.162,21122714.360
0.233,G17,123875309.739,96526212.000,0,23572683.682,23572684.430
0.233,G18,127292637.285,99189064.702,0,24222981.004,24222982.815
0.233,G20,121401014.752,94598167.920,0,23101844.585,23101845.383
0.233,G24,125016489.509,97415452.991,0,23789847.917,23789846.372
0.233,G28,111506989.902,86888567.521,0,21219067.407,21219069.448
0.233,G30,118797667.547,92569625.100,0,22606437.989,22606437.157
