yyyy.MM.dd (DDD) HH:mm:ss  fmin     foF2     M(D)    foF2p      h`F2     foF1      fxI      h`F      foE       h`E     fbEs     foEs  	   h`Es h`(fMUF)   MUF(D) type Es

2009.01.01 (001) 17:45:00   --- /B    --- /B  --- /   1.66 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 18:00:00   --- /B    --- /B  --- /   1.62 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 18:15:00   --- /B    --- /B  --- /   1.58 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 18:30:00   --- /B    --- /B  --- /   1.54 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 18:45:00   --- /B    --- /B  --- /   1.50 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 19:00:00   --- /B    --- /B  --- /   1.46 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 19:15:00   --- /B    --- /B  --- /   1.43 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 19:30:00   --- /B    --- /B  --- /   1.40 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 19:45:00   --- /B    --- /B  --- /   1.38 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 20:00:00   --- /B    --- /B  --- /   1.36 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 20:15:00   --- /B    --- /B  --- /   1.35 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 20:30:00   --- /B    --- /B  --- /   1.35 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 20:45:00   --- /B    --- /B  --- /   1.36 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 21:00:00   --- /B    --- /B  --- /   1.38 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 21:15:00   --- /B    --- /B  --- /   1.41 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 21:30:00   --- /B    --- /B  --- /   1.45 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 21:45:00   --- /B    --- /B  --- /   1.51 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 22:00:00   --- /B    --- /B  --- /   1.59 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 22:15:00   --- /B    --- /B  --- /   1.68 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 22:30:00   --- /B    --- /B  --- /   1.78 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 22:45:00   --- /B    --- /B  --- /   1.90 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 23:00:00   --- /B    --- /B  --- /   2.03 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 23:15:00   --- /B    --- /B  --- /   2.17 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 23:30:00   --- /B    --- /B  --- /   2.33 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //
2009.01.01 (001) 23:45:00   --- /B    --- /B  --- /   2.48 //    --- /B   --- //   --- /B    --- /    --- //    --- //   --- /B   --- /B    --- /B    --- /    --- /   --- //

                       Ql  1.75     2.850    3.50     1.43     207.9     0.00     3.65     207.9     0.00       0.0     2.00     2.30     112.0     252.4     9.98     0.0   
                      Med  1.90     3.500    3.64     1.77     220.0     0.00     4.35     220.0     0.00       0.0     2.08     2.67     113.5     266.1    12.64     0.0   
                       Qu  2.00     4.100    3.78     3.13     235.3     0.00     5.00     235.3     0.00       0.0     2.80     2.90     119.0     295.0    15.60     0.0   
                        V 13.16    35.714    7.59    96.32      12.4     0.00    31.03      12.4     0.00       0.0    38.55    22.43       6.2      16.0    44.41     0.0   
                      Avg  1.91     3.451    3.62     2.24     232.0     0.00     4.25     232.0     0.00       0.0     2.26     2.63     114.4     278.4    12.61     0.0   
                      Min  1.60     1.950    3.20     1.15     197.7     0.00     2.45     197.7     0.00       0.0     1.75     2.20     108.0     225.0     6.25     0.0   
                      Max  2.25     4.650    3.96     4.27     344.7     0.00     5.50     344.7     0.00       0.0     2.90     3.40     125.0     375.5    18.43     0.0   
